participant_id,group,task_number,dataset,condition,inst1_pred,inst2_pred,inst3_pred,inst4_pred,inst5_pred,inst6_pred,inst7_pred,inst8_pred,inst9_pred,inst10_pred,inst1_confidence,inst2_confidence,inst3_confidence,inst4_confidence,inst5_confidence,inst6_confidence,inst7_confidence,inst8_confidence,inst9_confidence,inst10_confidence,rating_understood_classes,rating_information_sufficient,rating_easy_to_apply,rating_matched_visible_patterns,rating_confident,rating_too_vague,rating_too_much_detail,task_note
P01,A,1,Chinatown,prototypes_only,2,2,2,2,2,1,2,1,1,1,4,3,1,5,5,1,5,1,5,4,4,2,2,4,4,4,1,None
P01,A,2,ECG200,prototypes_rules,2,1,1,2,2,1,1,1,1,1,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,1,1,None
P02,A,1,Chinatown,prototypes_only,2,1,1,2,2,2,2,1,1,2,4,3,4,3,3,4,3,4,4,3,3,2,2,3,3,4,2,"I can see some pattern, but the difference is not significant."
P02,A,2,ECG200,prototypes_rules,2,1,1,2,2,2,2,2,1,1,5,5,5,5,5,5,3,3,5,5,4,3,3,4,4,3,2,The explanation provided is better than the one from Task 1. 
P03,A,1,Chinatown,prototypes_only,2,1,1,2,2,2,2,1,1,1,3,2,3,3,2,3,3,3,1,1,2,2,2,3,1,4,1,None
P03,A,2,ECG200,prototypes_rules,2,1,1,2,2,1,1,1,1,1,5,5,4,5,5,3,4,5,5,5,4,4,4,4,4,3,2,None
P04,A,1,Chinatown,prototypes_only,2,1,2,2,1,2,1,1,1,2,3,3,,2,2,3,1,3,2,1,2,4,4,4,1,4,2,None
P04,A,2,ECG200,prototypes_rules,2,,1,2,2,1,1,,2,1,4,,2,4,4,2,4,,4,3,4,4,4,4,3,2,2,None
P05,A,1,Chinatown,prototypes_only,2,1,2,2,1,2,,1,1,1,3,4,2,3,3,4,,4,4,3,2,3,2,3,1,3,2,Took to little time to study them properly
P05,A,2,ECG200,prototypes_rules,2,1,1,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5,2,4,5,5,5,4,5,2,1,Red example 2 could have matched blues ruleset
